career,Q1_realistic,Q2_investigative,Q3_artistic,Q4_social,Q5_enterprising,Q6_conventional,Q7_math,Q8_communication,Q9_technical,Q10_design,Q11_work_env,Q12_team_size,Q13_risk,Q14_pace,Q15_values,Q16_prefers,Q17_balance,Q18_education,Q19_subjects,Q20_coding,Q21_indoor,Q22_age,Q23_problem_text,Q24_dream_text,Q25_skill_text,annual_salary,total_employment,required_skills
Data Scientist,2.53,6.81,2.63,1.93,1.72,4.61,5,3,5,1,Remote,Small (2-5),Medium,Varies,High salary,Data,Somewhat,Masters,Science/Math,Advanced,Strongly indoor,18-22,I love building predictive models that learn from historical data to forecast future,I would run my own data consultancy helping companies make smarter decisions,I am known for my patience in cleaning and structuring messy datasets,108020,192000,Python | Statistics | Machine Learning | SQL | Data Visualization | Pandas | Communication | NumPy
UX Designer,3.24,3.99,5.53,5.07,2.31,3.17,2,4,3,5,Flexible,Small (2-5),Medium,Varies,Creative freedom,Ideas,Very,Bachelors,Arts/Humanities,Intermediate,Mostly indoor,18-22,I love observing how people interact with products and finding friction points,I would design accessibility tools that make technology usable for everyone,People say I have an exceptional ability to understand what others truly need,95640,91770,User Research | Figma | Prototyping | Wireframing | Usability Testing | Empathy | Design Thinking | Communication
Architect,4.41,5.15,4.4,3.19,3.33,4.52,3,1,4,4,Flexible,Medium (6-20),High,Moderate,Creative freedom,Ideas,Very,Bachelors,Mixed,Never,Both equally,18-22,I get excited when I can design a space that changes how people feel and move,I would create affordable housing that is beautiful dignified and genuinely livable,Friends always ask me to help redesign their homes and reimagine their living spaces,93310,128830,Reading Comprehension | Critical Thinking | Complex Problem Solving | Active Listening | Speaking | Writing | Judgment and Decision Making | Active Learning
Mechanical Engineer,5.84,4.98,1.62,1.0,1.74,4.26,5,3,4,3,Flexible,Medium (6-20),Medium,Moderate,Job stability,Physical things,Somewhat,Bachelors,Science/Math,Never,Both equally,23-27,I enjoy analyzing why a mechanical system failed and redesigning it to be stronger,I would create renewable energy systems that make fossil fuels completely obsolete,People say I have an unusual ability to understand how things break before they do,96310,303400,Reading Comprehension | Critical Thinking | Active Listening | Complex Problem Solving | Mathematics | Speaking | Judgment and Decision Making | Science
Psychologist,1.92,6.16,3.6,6.36,2.65,4.24,2,5,2,2,Flexible,Large (20+),Medium,Moderate,Making impact,People,Not,Masters,Arts/Humanities,Never,Mostly indoor,23-27,I feel fulfilled when I help someone break through a mental barrier holding them back,I would write books that help people understand and genuinely improve their mental health,People say I can read emotions and sense how someone is feeling without any words,81040,181600,Reading Comprehension | Active Listening | Social Perceptiveness | Writing | Speaking | Critical Thinking | Judgment and Decision Making | Active Learning
Graphic Designer,3.27,3.79,7.0,3.06,3.03,4.1,2,1,1,4,Remote,Solo,High,Varies,Creative freedom,Mix of all,Somewhat,Pursuing,Arts/Humanities,Never,Strongly indoor,23-27,I love solving visual communication problems through design and typography,I would run my own creative studio designing brand identities for startups,People say I have an extraordinary eye for color harmony and visual balance,58910,253000,Critical Thinking | Speaking | Active Listening | Reading Comprehension | Active Learning | Writing | Complex Problem Solving | Coordination
Civil Engineer,6.0,5.39,1.89,1.7,3.38,5.76,5,1,4,3,Outdoor,Medium (6-20),Low,Moderate,Job stability,Physical things,Very,PhD,Science/Math,Never,Both equally,28-35,I love the challenge of building in very difficult environments with severe constraints,I would lead construction of the most ambitious infrastructure project ever attempted,Colleagues say my structural calculations are always the most thorough on any team,88050,329800,Reading Comprehension | Critical Thinking | Active Listening | Mathematics | Speaking | Complex Problem Solving | Writing | Monitoring
Content Creator,2.12,3.26,4.48,2.61,4.01,4.77,3,4,1,5,Remote,Solo,High,Varies,Creative freedom,Mix of all,Very,Pursuing,Arts/Humanities,Never,Strongly indoor,18-22,I enjoy the puzzle of making educational content feel entertaining and completely irresistible,I would create a content platform that gives a voice to stories that are never heard,People say I can make any topic feel fascinating and worth sharing with everyone,73690,165000,Writing | Reading Comprehension | Active Listening | Speaking | Critical Thinking | Active Learning | Judgment and Decision Making | Social Perceptiveness
Mechanical Engineer,6.34,4.81,2.39,1.38,1.85,4.94,5,1,5,1,Flexible,Medium (6-20),Medium,Moderate,Job stability,Physical things,Extremely,PhD,Science/Math,Never,Both equally,23-27,I get excited by the challenge of making mechanical systems dramatically more efficient,I would build manufacturing systems that produce goods with absolutely zero waste,Friends always ask me to fix mechanical things because I can figure absolutely anything out,96310,303400,Reading Comprehension | Critical Thinking | Active Listening | Complex Problem Solving | Mathematics | Speaking | Judgment and Decision Making | Science
UX Designer,2.99,3.4,5.8,3.13,3.0,2.43,2,4,4,5,Flexible,Small (2-5),Medium,Varies,Creative freedom,Ideas,Extremely,Pursuing,Arts/Humanities,Intermediate,Mostly indoor,18-22,I love observing how people interact with products and finding friction points,I would design accessibility tools that make technology usable for everyone,People say I have an exceptional ability to understand what others truly need,95640,91770,User Research | Figma | Prototyping | Wireframing | Usability Testing | Empathy | Design Thinking | Communication
Educator,2.93,3.75,4.1,6.07,2.98,3.63,1,4,3,3,Flexible,Large (20+),Low,Slow and steady,Making impact,People,Extremely,Bachelors,Arts/Humanities,Never,Mostly indoor,18-22,I love finding new ways to explain difficult concepts until they finally click,I would build a school that makes every student feel seen valued and truly capable,People say I have a rare gift for explaining complex ideas in very simple terms,84380,1394000,Curriculum Design | Communication | Classroom Management | Assessment | Patience | Subject Expertise | Technology | Mentoring
Doctor,4.89,6.4,1.89,5.1,2.08,3.65,3,5,1,3,Lab,Large (20+),Low,Moderate,Making impact,People,Very,Bachelors,Science/Math,Never,Mostly indoor,23-27,I love the challenge of staying current with rapidly evolving medical research,I would build healthcare systems that make quality medicine accessible to everyone,Colleagues say I have exceptional empathy combined with sharp clinical thinking,229300,756800,Reading Comprehension | Critical Thinking | Active Listening | Judgment and Decision Making | Speaking | Complex Problem Solving | Active Learning | Writing
Doctor,4.99,5.66,1.54,5.25,2.84,3.11,4,5,1,1,Lab,Large (20+),Low,Moderate,Making impact,People,Somewhat,Masters,Science/Math,Never,Mostly indoor,23-27,I love the challenge of staying current with rapidly evolving medical research,I would build healthcare systems that make quality medicine accessible to everyone,Colleagues say I have exceptional empathy combined with sharp clinical thinking,229300,756800,Reading Comprehension | Critical Thinking | Active Listening | Judgment and Decision Making | Speaking | Complex Problem Solving | Active Learning | Writing
Educator,2.23,4.16,4.32,6.4,3.13,4.31,2,5,2,3,Flexible,Large (20+),Low,Slow and steady,Making impact,People,Very,Pursuing,Arts/Humanities,Never,Mostly indoor,28-35,I enjoy creating assessments that actually measure understanding not just memorization,I would design a curriculum that prepares students for jobs that do not exist yet,People say I can make even the most boring topic feel genuinely exciting and relevant,84380,1394000,Curriculum Design | Communication | Classroom Management | Assessment | Patience | Subject Expertise | Technology | Mentoring
Entrepreneur,3.2,3.45,1.27,2.88,6.94,4.92,2,1,3,3,Flexible,Large (20+),High,Fast-paced,Creative freedom,Ideas,Very,Pursuing,Commerce/Business,Never,Both equally,23-27,I love identifying gaps in the market and imagining products that could perfectly fill them,I would build a company that disrupts an entire industry and creates thousands of good jobs,People say I have an exceptional ability to sell ideas and inspire others to join my vision,129420,3240000,Active Listening | Monitoring | Speaking | Reading Comprehension | Critical Thinking | Management of Personnel Resources | Social Perceptiveness | Coordination
Software Engineer,3.23,4.81,2.86,2.49,1.73,5.07,4,3,5,3,Remote,Small (2-5),Medium,Fast-paced,High salary,Ideas,Extremely,PhD,Science/Math,Expert,Strongly indoor,18-22,I love debugging complex systems and finding elegant solutions to logic problems,I would build open source tools that millions of developers use every day,People say I explain technical concepts in a very clear and simple way,130160,1847900,Programming | Reading Comprehension | Critical Thinking | Active Listening | Writing | Speaking | Judgment and Decision Making | Complex Problem Solving
Marketing Manager,1.0,2.81,2.8,2.66,7.0,4.36,1,5,1,3,Office,Medium (6-20),Medium,Fast-paced,Fame/recognition,People,Extremely,Bachelors,Commerce/Business,Basic,Mostly indoor,23-27,I love the puzzle of understanding an audience and speaking directly to their needs,I would use marketing to promote social causes and drive real lasting change,My colleagues say I can build genuine connections with almost anyone I meet,171520,384980,Reading Comprehension | Persuasion | Critical Thinking | Speaking | Active Listening | Active Learning | Monitoring | Social Perceptiveness
Research Scientist,3.46,6.4,3.09,2.06,2.72,5.66,5,4,3,3,Lab,Solo,Low,Slow and steady,Making impact,Data,Somewhat,Masters,Science/Math,Intermediate,Mostly indoor,28-35,I love asking questions that nobody has answered yet and designing experiments,I would run a lab researching cures for diseases that still have absolutely no treatment,People say I have an extraordinary ability to focus deeply and intensely for very long periods,99490,136400,Judgment and Decision Making | Systems Evaluation | Active Learning | Complex Problem Solving | Reading Comprehension | Critical Thinking | Systems Analysis | Programming
Educator,1.92,3.3,4.42,5.47,3.64,3.45,2,5,2,3,Flexible,Large (20+),Low,Slow and steady,Making impact,People,Somewhat,Bachelors,Arts/Humanities,Never,Mostly indoor,28-35,I love the challenge of reaching students who have struggled with traditional methods,I would mentor underprivileged youth and help them access world class education,Friends say I naturally take on a teaching role in every group I am ever part of,84380,1394000,Curriculum Design | Communication | Classroom Management | Assessment | Patience | Subject Expertise | Technology | Mentoring
Mechanical Engineer,6.7,4.64,2.57,1.0,1.28,4.81,4,2,4,1,Flexible,Medium (6-20),Medium,Moderate,Job stability,Physical things,Very,Bachelors,Science/Math,Never,Both equally,18-22,I love solving engineering problems where physics and creativity must work together,I would work on space exploration hardware that expands human reach in the universe,Colleagues say I can spot a design flaw in a mechanical system almost instantly,96310,303400,Reading Comprehension | Critical Thinking | Active Listening | Complex Problem Solving | Mathematics | Speaking | Judgment and Decision Making | Science
Cybersecurity Analyst,4.47,5.5,1.0,3.04,3.32,6.26,5,1,5,1,Office,Solo,High,Fast-paced,High salary,Data,Extremely,Pursuing,Mixed,Advanced,Strongly indoor,23-27,I love thinking like an attacker to find vulnerabilities before hackers do,I would build security systems that protect critical national infrastructure,People say I have an extraordinary ability to think several steps ahead defensively,102600,168900,Reading Comprehension | Critical Thinking | Active Listening | Speaking | Writing | Monitoring | Complex Problem Solving | Active Learning
