Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Job_Role
5,5,5,4,4,5,3,5,2,5,5,5,4,4,3,5,5,5,5,5,5,3,5,4,4,3,4,5,4,3,ai_ml_engineer
4,4,3,5,3,4,5,5,4,5,4,4,5,5,4,4,4,5,4,5,4,5,5,5,4,3,3,5,3,5,ui_ux_designer
5,5,5,5,4,5,2,5,3,4,3,4,5,4,3,5,5,5,4,5,3,3,3,5,4,3,4,5,4,3,ai_ml_engineer
5,5,4,5,4,5,4,3,4,4,5,3,3,4,4,4,5,4,4,5,4,4,3,5,5,5,3,2,4,3,frontend_developer
4,5,4,2,3,4,3,4,3,4,4,2,5,5,4,5,4,5,5,4,4,5,4,5,4,4,3,5,5,5,digital_marketing
4,4,4,4,4,5,5,4,4,5,4,5,2,5,4,4,4,5,5,5,4,5,5,4,4,3,3,4,4,3,ui_ux_designer
4,5,4,4,5,4,3,4,2,4,5,5,4,4,4,5,4,4,4,4,4,4,3,3,4,5,4,3,4,2,devops_engineer
5,5,5,5,5,4,1,4,3,3,4,5,5,5,3,5,5,3,5,5,3,4,3,4,5,5,4,3,4,3,cybersecurity
4,5,4,5,4,5,4,2,4,4,4,4,5,5,5,4,4,4,4,4,3,5,3,4,2,4,3,3,4,4,frontend_developer
5,3,4,5,4,5,5,4,4,5,4,4,4,4,5,3,4,5,5,5,4,4,4,5,4,5,3,5,3,5,digital_marketing
4,5,3,4,3,5,3,4,2,5,4,5,5,4,4,5,4,4,5,4,5,5,5,5,4,4,3,5,4,4,product_manager
4,4,5,4,4,3,4,4,3,5,4,4,4,4,4,5,5,4,5,4,4,5,3,3,5,5,4,3,3,2,software_engineer_backend
5,4,4,4,5,4,5,5,3,4,4,3,4,3,4,5,4,5,5,4,4,4,5,4,4,4,3,4,3,2,fullstack_developer
5,5,5,5,5,5,3,5,4,5,4,4,5,3,4,5,5,4,5,5,4,3,5,4,3,3,5,4,4,3,ai_ml_engineer
5,5,3,4,5,3,3,5,4,4,5,5,4,5,4,5,5,4,5,5,5,5,4,5,4,4,3,5,5,3,business_analyst
5,4,5,4,5,3,5,4,2,3,4,4,5,5,5,4,5,4,5,5,4,4,4,5,4,4,4,5,3,4,data_scientist
1,3,4,5,2,5,5,4,5,5,5,4,4,5,3,5,5,4,4,4,4,4,3,5,3,5,5,4,4,5,ui_ux_designer
3,4,4,4,4,4,5,5,5,5,5,4,3,4,4,4,4,4,4,3,4,4,2,5,1,3,3,4,4,4,frontend_developer
2,2,3,4,4,5,5,4,5,4,4,3,2,5,5,4,4,4,4,5,5,4,4,5,4,4,5,5,5,4,digital_marketing
4,3,4,4,3,5,4,5,5,4,4,3,5,4,5,4,5,5,4,4,5,5,4,5,4,4,4,5,4,4,digital_marketing
4,5,4,4,5,4,3,5,2,3,4,4,4,4,3,4,5,4,4,5,5,3,4,3,3,3,4,4,3,4,software_engineer_backend
4,5,3,5,4,4,4,4,3,5,4,4,3,3,4,5,5,4,4,5,4,5,4,5,5,4,4,3,4,3,frontend_developer
